Date,CCI,,,,,,,,,,,,
1-Jun-1977,98.2,,,,,,,,,,,,
1-Jul-1977,97.5,,,,,,,,,,,,  
1-Aug-1977,98.7,,,,,,,,,,,,  
1-Sep-1977,96.7,,,,,,,,,,,,  
1-Oct-1977,95.5,,,,,,,,,,,,  
1-Nov-1977,98.9,,,,,,,,,,,,  
1-Dec-1977,109.7,,,,,,,,,,,,  
1-Jan-1978,107.8,,,,,,,,,,,,  
1-Feb-1978,107,,,,,,,,,,,,  
1-Mar-1978,104.7,,,,,,,,,,,,  
1-Apr-1978,109.9,,,,,,,,,,,,  
1-May-1978,105.5,,,,,,,,,,,,  
1-Jun-1978,109.5,,,,,,,,,,,,  
1-Jul-1978,105.4,,,,,,,,,,,,  
1-Aug-1978,108,,,,,,,,,,,,  
1-Sep-1978,106.6,,,,,,,,,,,,  
1-Oct-1978,108.6,,,,,,,,,,,,  
1-Nov-1978,96.5,,,,,,,,,,,,  
1-Dec-1978,102.2,,,,,,,,,,,,  
1-Jan-1979,99.5,,,,,,,,,,,,  
1-Feb-1979,101.5,,,,,,,,,,,,  
1-Mar-1979,96.4,,,,,,,,,,,,  
1-Apr-1979,94.6,,,,,,,,,,,,  
1-May-1979,96,,,,,,,,,,,,  
1-Jun-1979,92.7,,,,,,,,,,,,  
1-Jul-1979,81.4,,,,,,,,,,,,  
1-Aug-1979,79.4,,,,,,,,,,,,  
1-Sep-1979,87.8,,,,,,,,,,,,  
1-Oct-1979,92.3,,,,,,,,,,,,  
1-Nov-1979,90.2,,,,,,,,,,,,  
1-Dec-1979,90.7,,,,,,,,,,,,  
1-Jan-1980,85.9,,,,,,,,,,,,  
1-Feb-1980,85.3,,,,,,,,,,,,  
1-Mar-1980,80.8,,,,,,,,,,,,  
1-Apr-1980,60.5,,,,,,,,,,,,  
1-May-1980,50.1,,,,,,,,,,,,  
1-Jun-1980,56.1,,,,,,,,,,,,  
1-Jul-1980,65.4,,,,,,,,,,,,  
1-Aug-1980,70.8,,,,,,,,,,,,  
1-Sep-1980,80.3,,,,,,,,,,,,  
1-Oct-1980,84.2,,,,,,,,,,,,  
1-Nov-1980,87.2,,,,,,,,,,,,
1-Dec-1980,78.6,,,,,,,,,,,,
1-Jan-1981,74.4,,,,,,,,,,,,
1-Feb-1981,69,,,,,,,,,,,,
1-Mar-1981,77.8,,,,,,,,,,,,
1-Apr-1981,81.6,,,,,,,,,,,,
1-May-1981,86.9,,,,,,,,,,,,
1-Jun-1981,83,,,,,,,,,,,,
1-Jul-1981,83.5,,,,,,,,,,,,
1-Aug-1981,85.7,,,,,,,,,,,,
1-Sep-1981,77.6,,,,,,,,,,,,
1-Oct-1981,75.6,,,,,,,,,,,,
1-Nov-1981,66.9,,,,,,,,,,,,
1-Dec-1981,66.6,,,,,,,,,,,,
1-Jan-1982,64.9,,,,,,,,,,,,
1-Feb-1982,62.3,,,,,,,,,,,,
1-Mar-1982,56.7,,,,,,,,,,,,
1-Apr-1982,57,,,,,,,,,,,,
1-May-1982,61.4,,,,,,,,,,,,
1-Jun-1982,56.7,,,,,,,,,,,,
1-Jul-1982,63.2,,,,,,,,,,,,
1-Aug-1982,56.9,,,,,,,,,,,,
1-Sep-1982,58.1,,,,,,,,,,,,
1-Oct-1982,54.3,,,,,,,,,,,,
1-Nov-1982,57.4,,,,,,,,,,,,
1-Dec-1982,59.5,,,,,,,,,,,,
1-Jan-1983,59,,,,,,,,,,,,
1-Feb-1983,67.6,,,,,,,,,,,,
1-Mar-1983,79.4,,,,,,,,,,,,
1-Apr-1983,83.1,,,,,,,,,,,,
1-May-1983,87.7,,,,,,,,,,,,
1-Jun-1983,87.5,,,,,,,,,,,,
1-Jul-1983,89,,,,,,,,,,,,
1-Aug-1983,91.2,,,,,,,,,,,,
1-Sep-1983,91.1,,,,,,,,,,,,
1-Oct-1983,92.1,,,,,,,,,,,,
1-Nov-1983,96.7,,,,,,,,,,,,
1-Dec-1983,103.6,,,,,,,,,,,,
1-Jan-1984,103.9,,,,,,,,,,,,
1-Feb-1984,101,,,,,,,,,,,,
1-Mar-1984,101.1,,,,,,,,,,,,
1-Apr-1984,106.1,,,,,,,,,,,,
1-May-1984,104.8,,,,,,,,,,,,
1-Jun-1984,105.8,,,,,,,,,,,,
1-Jul-1984,100.4,,,,,,,,,,,,
1-Aug-1984,103.1,,,,,,,,,,,,
1-Sep-1984,100,,,,,,,,,,,,
1-Oct-1984,99.1,,,,,,,,,,,,
1-Nov-1984,105.5,,,,,,,,,,,,
1-Dec-1984,97,,,,,,,,,,,,
1-Jan-1985,102,,,,,,,,,,,,
1-Feb-1985,103.1,,,,,,,,,,,,
1-Mar-1985,96.1,,,,,,,,,,,,
1-Apr-1985,104.4,,,,,,,,,,,,
1-May-1985,99.6,,,,,,,,,,,,
1-Jun-1985,102.6,,,,,,,,,,,,
1-Jul-1985,103.2,,,,,,,,,,,,
1-Aug-1985,100.9,,,,,,,,,,,,
1-Sep-1985,96,,,,,,,,,,,,
1-Oct-1985,96.1,,,,,,,,,,,,
1-Nov-1985,98.1,,,,,,,,,,,,
1-Dec-1985,98.2,,,,,,,,,,,,
1-Jan-1986,96.9,,,,,,,,,,,,
1-Feb-1986,96,,,,,,,,,,,,
1-Mar-1986,95.1,,,,,,,,,,,,
1-Apr-1986,100,,,,,,,,,,,,
1-May-1986,100.2,,,,,,,,,,,,
1-Jun-1986,100,,,,,,,,,,,,
1-Jul-1986,97.5,,,,,,,,,,,,
1-Aug-1986,91.7,,,,,,,,,,,,
1-Sep-1986,89.7,,,,,,,,,,,,
1-Oct-1986,85.8,,,,,,,,,,,,
1-Nov-1986,89.7,,,,,,,,,,,,
1-Dec-1986,93.2,,,,,,,,,,,,
1-Jan-1987,85.4,,,,,,,,,,,,
1-Feb-1987,91.8,,,,,,,,,,,,
1-Mar-1987,95.8,,,,,,,,,,,,
1-Apr-1987,97.4,,,,,,,,,,,,
1-May-1987,103,,,,,,,,,,,,
1-Jun-1987,102.1,,,,,,,,,,,,
1-Jul-1987,105.8,,,,,,,,,,,,
1-Aug-1987,110.7,,,,,,,,,,,,
1-Sep-1987,115.7,,,,,,,,,,,,
1-Oct-1987,115.1,,,,,,,,,,,,
1-Nov-1987,100.8,,,,,,,,,,,,
1-Dec-1987,107.7,,,,,,,,,,,,
1-Jan-1988,109.9,,,,,,,,,,,,
1-Feb-1988,114.9,,,,,,,,,,,,
1-Mar-1988,112.7,,,,,,,,,,,,
1-Apr-1988,115.7,,,,,,,,,,,,
1-May-1988,120.2,,,,,,,,,,,,
1-Jun-1988,115.7,,,,,,,,,,,,
1-Jul-1988,113.5,,,,,,,,,,,,
1-Aug-1988,119.7,,,,,,,,,,,,
1-Sep-1988,110.7,,,,,,,,,,,,
1-Oct-1988,116.9,,,,,,,,,,,,
1-Nov-1988,112.9,,,,,,,,,,,,
1-Dec-1988,119.4,,,,,,,,,,,,
1-Jan-1989,115.8,,,,,,,,,,,,
1-Feb-1989,120.7,,,,,,,,,,,,
1-Mar-1989,117.4,,,,,,,,,,,,
1-Apr-1989,116.6,,,,,,,,,,,,
1-May-1989,116.7,,,,,,,,,,,,
1-Jun-1989,117.2,,,,,,,,,,,,
1-Jul-1989,120.4,,,,,,,,,,,,
1-Aug-1989,115.4,,,,,,,,,,,,
1-Sep-1989,116.3,,,,,,,,,,,,
1-Oct-1989,117,,,,,,,,,,,,
1-Nov-1989,115.1,,,,,,,,,,,,
1-Dec-1989,113,,,,,,,,,,,,
1-Jan-1990,106.5,,,,,,,,,,,,
1-Feb-1990,106.7,,,,,,,,,,,,
1-Mar-1990,110.6,,,,,,,,,,,,
1-Apr-1990,107.3,,,,,,,,,,,,
1-May-1990,107.3,,,,,,,,,,,,
1-Jun-1990,102.4,,,,,,,,,,,,
1-Jul-1990,101.7,,,,,,,,,,,,
1-Aug-1990,84.7,,,,,,,,,,,,
1-Sep-1990,85.6,,,,,,,,,,,,
1-Oct-1990,62.6,,,,,,,,,,,,
1-Nov-1990,61.7,,,,,,,,,,,,
1-Dec-1990,61.2,,,,,,,,,,,,
1-Jan-1991,55.1,,,,,,,,,,,,
1-Feb-1991,59.4,,,,,,,,,,,,
1-Mar-1991,81.1,,,,,,,,,,,,
1-Apr-1991,79.4,,,,,,,,,,,,
1-May-1991,76.4,,,,,,,,,,,,
1-Jun-1991,78,,,,,,,,,,,,
1-Jul-1991,77.7,,,,,,,,,,,,
1-Aug-1991,76.1,,,,,,,,,,,,
1-Sep-1991,72.9,,,,,,,,,,,,
1-Oct-1991,60.1,,,,,,,,,,,,
1-Nov-1991,52.7,,,,,,,,,,,,
1-Dec-1991,52.5,,,,,,,,,,,,
1-Jan-1992,50.2,,,,,,,,,,,,
1-Feb-1992,47.3,,,,,,,,,,,,
1-Mar-1992,56.5,,,,,,,,,,,,
1-Apr-1992,65.1,,,,,,,,,,,,
1-May-1992,71.9,,,,,,,,,,,,
1-Jun-1992,72.6,,,,,,,,,,,,
1-Jul-1992,61.2,,,,,,,,,,,,
1-Aug-1992,59,,,,,,,,,,,,
1-Sep-1992,57.3,,,,,,,,,,,,
1-Oct-1992,54.6,,,,,,,,,,,,
1-Nov-1992,65.6,,,,,,,,,,,,
1-Dec-1992,78.1,,,,,,,,,,,,
1-Jan-1993,76.7,,,,,,,,,,,,
1-Feb-1993,68.5,,,,,,,,,,,,
1-Mar-1993,63.2,,,,,,,,,,,,
1-Apr-1993,67.6,,,,,,,,,,,,
