DATE,Log PCE,Log GDP ,UR,log M2,Jobless,MCI
1-Jan-78,0.002660498,0.001512796,7.1,,0.022956018,83.7
1-Feb-78,0.001700023,0.001512796,6.9,,-0.003976949,84.3
1-Mar-78,0.00238096,0.001512796,6.6,,-0.042139099,78.8
1-Apr-78,0.002811288,0.016565102,5.8,,-0.009911424,81.6
1-May-78,0.002555172,0.016565102,5.5,,-0.00402205,82.9
1-Jun-78,0.002433694,0.016565102,6.2,,0.028680644,80
1-Jul-78,0.002549612,0.004222671,6.3,,0.009185077,82.4
1-Aug-78,0.002335774,0.004222671,5.9,,-0.029842,78.4
1-Sep-78,0.002486259,0.004222671,5.8,,-0.001755531,80.4
1-Oct-78,0.003177496,0.005788137,5.4,,-0.005931593,79.3
1-Nov-78,0.002327735,0.005788137,5.6,,0.038500166,75
1-Dec-78,0.001686137,0.005788137,5.7,,0.008492083,66.1
1-Jan-79,0.002192488,0.00085823,6.4,,-0.007461765,72.1
1-Feb-79,0.001410122,0.00085823,6.4,,0.007265446,73.9
1-Mar-79,0.002479328,0.00085823,6.1,,0.053148482,68.4
1-Apr-79,0.003966803,0.000526262,5.5,,-0.050993843,66
1-May-79,0.003753495,0.000526262,5.2,,-0.009527616,68.1
1-Jun-79,0.00241091,0.000526262,6,,0.023503736,65.8
1-Jul-79,0.002167214,0.003110779,5.9,,0.022545562,60.4
1-Aug-79,0.00286563,0.003110779,5.9,,-0.007892171,64.5
1-Sep-79,0.002933479,0.003110779,5.7,,0.013452644,66.7
1-Oct-79,0.003150359,0.001123262,5.6,,0.008644306,62.1
1-Nov-79,0.002764646,0.001123262,5.6,,0.017007621,63.3
1-Dec-79,0.003097289,0.001123262,5.7,,-0.001442669,61
1-Jan-80,0.003254345,0.001400005,6.9,,-0.003237636,67
1-Feb-80,0.004294588,0.001400005,6.8,,0.006988887,66.9
1-Mar-80,0.003994423,0.001400005,6.6,,0.064300053,56.5
1-Apr-80,0.002225043,-0.00889633,6.7,,0.080172912,52.7
1-May-80,0.00347945,-0.00889633,7.1,,0.016979717,51.7
1-Jun-80,0.002864897,-0.00889633,7.8,,-0.025893672,58.7
1-Jul-80,0.003027158,-0.00065949,7.9,,-0.028934643,62.3
1-Aug-80,0.00312602,-0.00065949,7.6,,-0.0371704,67.3
1-Sep-80,0.004054213,-0.00065949,7.2,,-0.039934407,73.7
1-Oct-80,0.003546085,0.007975486,7.1,,-0.036950636,75
1-Nov-80,0.003410311,0.007975486,7.1,,-0.005908503,76.7
1-Dec-80,0.002600748,0.007975486,6.9,0.000829962,-0.000382691,64.5
1-Jan-81,0.003757063,0.008893217,8.2,0.00155361,0.00977744,71.4
1-Feb-81,0.003163385,0.008893217,8,0.003500626,-0.003499258,66.9
1-Mar-81,0.002393022,0.008893217,7.7,0.005304124,-0.010070476,66.5
1-Apr-81,0.002737655,-0.003179301,7,0.006191115,0.008884715,72.4
1-May-81,0.002963583,-0.003179301,7.1,0.001006355,0.008987861,76.3
1-Jun-81,0.002144392,-0.003179301,7.7,0.001563712,0.013588537,73.1
1-Jul-81,0.002596354,0.004955853,7.3,0.003097719,0.004093194,74.1
1-Aug-81,0.002884096,0.004955853,7.2,0.003573063,0.016824683,77.2
1-Sep-81,0.00281945,0.004955853,7.3,0.002868739,0.024799974,73.1
1-Oct-81,0.002565491,-0.005100921,7.5,0.003542125,0.015959089,70.3
1-Nov-81,0.002505335,-0.005100921,7.9,0.003712489,0.02798842,62.5
1-Dec-81,0.001566389,-0.005100921,8.3,0.004272504,-0.005679785,64.3
1-Jan-82,0.002633888,-0.007322602,9.4,0.002773041,0.011037495,71
1-Feb-82,0.001658125,-0.007322602,9.6,0.002443346,-0.000946556,66.5
1-Mar-82,0.001873359,-0.007322602,9.5,0.00299911,0.025000874,62
1-Apr-82,0.001697674,0.002354558,9.2,0.00455044,0.00628231,65.5
1-May-82,0.002349851,0.002354558,9.1,0.002004818,0.009755712,67.5
1-Jun-82,0.002162568,0.002354558,9.8,0.002871014,-0.01310993,65.7
1-Jul-82,0.002794468,-0.001563823,9.8,0.001229733,0.018566019,65.4
1-Aug-82,0.001999904,-0.001563823,9.6,0.003615499,0.030285733,65.4
1-Sep-82,0.001612252,-0.001563823,9.7,0.003188701,0.008573949,69.3
1-Oct-82,0.002736573,0.000421583,9.9,0.002079933,-0.037070987,73.4
1-Nov-82,0.001638817,0.000421583,10.4,0.003758145,-0.037010342,72.1
1-Dec-82,0.001428909,0.000421583,10.5,0.004263726,-0.043522477,71.9
1-Jan-83,0.003079936,0.005654982,11.4,0.011391075,-0.012081005,70.4
1-Feb-83,0.001649424,0.005654982,11.3,0.009310508,-0.007464968,74.6
1-Mar-83,0.000587565,0.005654982,10.8,0.003834711,0.006945471,80.8
1-Apr-83,0.001314941,0.009798274,10,0.002527069,-0.00840888,89.1
1-May-83,0.000635105,0.009798274,9.8,0.003264424,-0.02824302,93.3
1-Jun-83,0.002032765,0.009798274,10.2,0.002487341,-0.032860945,92.2
1-Jul-83,0.002915851,0.008418768,9.4,0.002647792,0.005545632,92.8
1-Aug-83,0.002239825,0.008418768,9.2,0.001480354,-0.004767559,90.9
1-Sep-83,0.001754131,0.008418768,8.8,0.001595432,-0.014169617,89.9
1-Oct-83,0.000776438,0.008866977,8.4,0.003369274,-0.011722267,89.3
1-Nov-83,0.001019519,0.008866977,8.1,0.001934408,-0.022175075,91.1
1-Dec-83,0.000325741,0.008866977,8,0.002796901,-0.019430822,94.2
1-Jan-84,0.001422252,0.008543612,8.8,0.003533006,-0.018315639,100.1
1-Feb-84,0.002717736,0.008543612,8.4,0.002027571,0.000599484,97.4
1-Mar-84,0.001641795,0.008543612,8.1,0.005175413,0.019453184,101
1-Apr-84,0.002051549,0.007560688,7.6,0.004294444,0.005542029,96.1
1-May-84,0.001006199,0.007560688,7.2,0.002388477,-0.005632485,98.1
1-Jun-84,0.001027747,0.007560688,7.4,0.002395978,0.001595289,95.5
1-Jul-84,0.001866024,0.004252721,7.5,0.001935583,0.01722974,96.6
1-Aug-84,0.001439686,0.004252721,7.3,0.000841498,0.020638932,99.1
1-Sep-84,0.00067075,0.004252721,7.1,0.002014323,0.01523237,100.9
1-Oct-84,0.000984518,0.003448788,7,0.003035333,0.006268889,96.3
1-Nov-84,0.000935192,0.003448788,6.9,0.004063621,-0.021997187,95.7
1-Dec-84,0.001723642,0.003448788,7,0.004593876,-0.021010149,92.9
1-Jan-85,0.002432767,0.004294629,8,0.005632269,0.008736309,96
1-Feb-85,0.002318683,0.004294629,7.8,0.002699737,0.001104535,93.7
1-Mar-85,0.001582609,0.004294629,7.5,0.002393423,0.011816653,93.7
1-Apr-85,0.000562174,0.00395884,7.1,0.002064599,-0.002761379,94.6
1-May-85,0.001551822,0.00395884,7,0.00218692,0.002279404,91.8
1-Jun-85,0.001485161,0.00395884,7.5,0.003971197,-0.009190287,96.5
1-Jul-85,0.001282029,0.00670617,7.4,0.003871706,0.008307574,94
1-Aug-85,0.002120757,0.00670617,6.9,0.001951038,0.018501239,92.4
1-Sep-85,0.00087871,0.00670617,6.9,0.001892663,-0.008011809,92.1
1-Oct-85,0.000672979,0.003244266,6.8,0.002682653,-0.004021211,88.4
1-Nov-85,0.001026362,0.003244266,6.7,0.001583236,-0.011970263,90.9
1-Dec-85,0.001189354,0.003244266,6.7,0.002871123,-0.014863104,93.9
1-Jan-86,0.00236898,0.004007598,7.3,0.002386717,-0.01366928,95.6
1-Feb-86,0.001134923,0.004007598,7.8,0.001433195,0.015301235,95.9
1-Mar-86,0.001295558,0.004007598,7.5,0.003976829,0.011620184,95.1
1-Apr-86,0.000735406,0.001987239,7,0.004316658,0.002002296,96.2
1-May-86,0.000704524,0.001987239,7,0.003888493,-0.016413521,94.8
1-Jun-86,0.00126527,0.001987239,7.3,0.004192138,-0.009830734,99.3
1-Jul-86,0.000752971,0.004354475,7,0.003923573,0.033283577,97.7
1-Aug-86,0.000854737,0.004354475,6.7,0.002783935,0.003681818,94.9
1-Sep-86,0.001396376,0.004354475,6.8,0.003303505,-0.010274334,91.9
1-Oct-86,0.001450409,0.002243032,6.6,0.003016059,-0.026053405,95.6
1-Nov-86,0.000913174,0.002243032,6.6,0.001962939,-0.002645698,91.4
1-Dec-86,0.000561561,0.002243032,6.3,0.003908229,-0.024755184,89.1
1-Jan-87,0.000975534,0.003025315,7.3,0.003705853,0.012124397,90.4
1-Feb-87,0.000915299,0.003025315,7.2,-0.000882122,-0.019301667,90.2
1-Mar-87,0.001304232,0.003025315,6.9,0.001336328,-0.005652853,90.8
1-Apr-87,0.001768935,0.004845441,6.2,0.002350321,-0.00285426,92.8
1-May-87,0.001187276,0.004845441,6.1,0.000184495,-0.006512272,91.1
1-Jun-87,0.001155373,0.004845441,6.3,0.000856284,-0.008216627,91.5
1-Jul-87,0.001123716,0.003919792,6.1,0.000894471,0.006602364,93.7
1-Aug-87,0.001441536,0.003919792,5.8,0.000862986,-0.017921242,94.4
1-Sep-87,0.001734905,0.003919792,5.7,0.001351554,-0.010748191,93.6
1-Oct-87,0.001897599,0.007112253,5.7,0.002872167,-0.005178019,89.3
1-Nov-87,0.000931599,0.007112253,5.6,0.001058792,0.02016242,83.1
1-Dec-87,0.000901465,0.007112253,5.4,0.001164619,0.017271519,86.8
1-Jan-88,0.001993468,0.002433643,6.3,0.002621064,-0.001474179,90.8
1-Feb-88,0.000874515,0.002433643,6.2,0.004078577,-0.021687343,91.6
1-Mar-88,0.001848168,0.002433643,5.9,0.003608453,-0.00195786,94.6
1-Apr-88,0.002117447,0.005701413,5.3,0.002839526,0.004219362,91.2
1-May-88,0.001479545,0.005701413,5.4,0.001686675,-0.00269776,94.8
1-Jun-88,0.001818316,0.005701413,5.5,0.002765155,0.003148651,94.7
1-Jul-88,0.001776511,0.002501048,5.5,0.001543744,0.012960389,93.4
1-Aug-88,0.001073354,0.002501048,5.4,0.00110708,-0.019087271,97.4
1-Sep-88,0.002328991,0.002501048,5.2,0.000398211,-0.019799252,97.3
1-Oct-88,0.001620187,0.005716488,5,0.000899945,-0.008809973,94.1
1-Nov-88,0.00117576,0.005716488,5.2,0.002371619,0.005485427,93
1-Dec-88,0.001381163,0.005716488,5,0.000726908,-0.000352414,91.9
1-Jan-89,0.002133833,0.004355878,6,0.000677109,0.007268312,97.9
1-Feb-89,0.001042965,0.004355878,5.6,-0.000891421,0.026886744,95.4
1-Mar-89,0.001266904,0.004355878,5.2,0.001700679,-0.001512025,94.3
1-Apr-89,0.001429159,0.003401997,5.1,0.000708763,0.003821425,91.5
