DATE,GDPC1,log,DATE-2,,
1/1/66,4201.9,,1/1/66,4201.9,
4/1/66,4219.1,0.001774107,2/1/66,4201.9,
7/1/66,4249.2,0.003087354,3/1/66,4201.9,
10/1/66,4285.6,0.003704461,4/1/66,4219.1,0.001774107
1/1/67,4324.9,0.003964437,5/1/66,4219.1,0.001774107
4/1/67,4328.7,0.000381418,6/1/66,4219.1,0.001774107
7/1/67,4366.1,0.00373619,7/1/66,4249.2,0.003087354
10/1/67,4401.2,0.003477426,8/1/66,4249.2,0.003087354
1/1/68,4490.6,0.008733268,9/1/66,4249.2,0.003087354
4/1/68,4566.4,0.007269579,10/1/66,4285.6,0.003704461
7/1/68,4599.3,0.003117787,11/1/66,4285.6,0.003704461
10/1/68,4619.8,0.001931436,12/1/66,4285.6,0.003704461
1/1/69,4691.6,0.006697803,1/1/67,4324.9,0.003964437
4/1/69,4706.7,0.00139554,2/1/67,4324.9,0.003964437
7/1/69,4736.1,0.002704346,3/1/67,4324.9,0.003964437
10/1/69,4715.5,-0.001893114,4/1/67,4328.7,0.000381418
1/1/70,4707.1,-0.000774324,5/1/67,4328.7,0.000381418
4/1/70,4715.4,0.000765114,6/1/67,4328.7,0.000381418
7/1/70,4757.2,0.003832871,7/1/67,4366.1,0.00373619
10/1/70,4708.3,-0.004487283,8/1/67,4366.1,0.00373619
1/1/71,4834.3,0.011469471,9/1/67,4366.1,0.00373619
4/1/71,4861.9,0.002472424,10/1/67,4401.2,0.003477426
7/1/71,4900,0.003390058,11/1/67,4401.2,0.003477426
10/1/71,4914.3,0.001265585,12/1/67,4401.2,0.003477426
1/1/72,5002.4,0.007716751,1/1/68,4490.6,0.008733268
4/1/72,5118.3,0.009947322,2/1/68,4490.6,0.008733268
7/1/72,5165.4,0.003978221,3/1/68,4490.6,0.008733268
10/1/72,5251.2,0.007154601,4/1/68,4566.4,0.007269579
1/1/73,5380.5,0.010564076,5/1/68,4566.4,0.007269579
4/1/73,5441.5,0.004895998,6/1/68,4566.4,0.007269579
7/1/73,5411.9,-0.00236887,7/1/68,4599.3,0.003117787
10/1/73,5462.4,0.004033736,8/1/68,4599.3,0.003117787
1/1/74,5417,-0.003624664,9/1/68,4599.3,0.003117787
4/1/74,5431.3,0.001144956,10/1/68,4619.8,0.001931436
7/1/74,5378.7,-0.00422647,11/1/68,4619.8,0.001931436
