DATE,CPIAUCSL,Log CPI,PCE,Log PCE,Log PCE Dif
1-Jan-77,58.7,176.8638101,33.511,1.525187388,
1-Feb-77,59.3,177.3054693,33.716,1.527836045,0.002648657
1-Mar-77,59.6,177.524626,33.858,1.529661301,0.001825255
1-Apr-77,60,177.815125,34.027,1.531823661,0.00216236
1-May-77,60.2,177.9596491,34.201,1.534038805,0.002215143
1-Jun-77,60.5,178.1755375,34.405,1.536621562,0.002582758
1-Jul-77,60.8,178.3903579,34.619,1.539314519,0.002692957
1-Aug-77,61.1,178.604121,34.79,1.541454429,0.00213991
1-Sep-77,61.3,178.7460475,34.938,1.54329804,0.001843612
1-Oct-77,61.6,178.9580712,35.108,1.54540609,0.002108049
1-Nov-77,62,179.2391689,35.292,1.547676271,0.002270181
1-Dec-77,62.3,179.4488047,35.477,1.549946888,0.002270617
1-Jan-78,62.7,179.7267541,35.695,1.552607386,0.002660498
1-Feb-78,63,179.9340549,35.835,1.554307409,0.001700023
1-Mar-78,63.4,180.2089258,36.032,1.556688369,0.00238096
1-Apr-78,63.9,180.5500858,36.266,1.559499657,0.002811288
1-May-78,64.5,180.9559715,36.48,1.56205483,0.002555172
1-Jun-78,65,181.2913357,36.685,1.564488523,0.002433694
1-Jul-78,65.5,181.62413,36.901,1.567038135,0.002549612
1-Aug-78,65.9,181.8885415,37.1,1.56937391,0.002335774
1-Sep-78,66.5,182.2821645,37.313,1.571860168,0.002486259
1-Oct-78,67.1,182.672252,37.587,1.575037664,0.003177496
1-Nov-78,67.5,182.9303773,37.789,1.577365399,0.002327735
1-Dec-78,67.9,183.1869774,37.936,1.579051537,0.001686137
1-Jan-79,68.5,183.5690571,38.128,1.581244025,0.002192488
1-Feb-79,69.2,184.0106094,38.252,1.582654147,0.001410122
1-Mar-79,69.9,184.4477176,38.471,1.585133475,0.002479328
1-Apr-79,70.6,184.8804701,38.824,1.589100278,0.003966803
1-May-79,71.4,185.3698212,39.161,1.592853773,0.003753495
1-Jun-79,72.2,185.8537198,39.379,1.595264683,0.00241091
1-Jul-79,73,186.332286,39.576,1.597431897,0.002167214
1-Aug-79,73.7,186.7467488,39.838,1.600297527,0.00286563
1-Sep-79,74.4,187.1572936,40.108,1.603231006,0.002933479
1-Oct-79,75.2,187.6217841,40.4,1.606381365,0.003150359
1-Nov-79,76,188.0813592,40.658,1.609146012,0.002764646
1-Dec-79,76.9,188.592634,40.949,1.6122433,0.003097289
1-Jan-80,78,189.2094603,41.257,1.615497645,0.003254345
1-Feb-80,79,189.7627091,41.667,1.619792233,0.004294588
1-Mar-80,80.1,190.3632516,42.052,1.623786656,0.003994423
1-Apr-80,80.9,190.7948522,42.268,1.626011699,0.002225043
1-May-80,81.7,191.2222057,42.608,1.629491149,0.00347945
1-Jun-80,82.5,191.6453949,42.89,1.632356046,0.002864897
1-Jul-80,82.6,191.6980047,43.19,1.635383204,0.003027158
1-Aug-80,83.2,192.0123326,43.502,1.638509224,0.00312602
1-Sep-80,83.9,192.3761961,43.91,1.642563437,0.004054213
1-Oct-80,84.7,192.788341,44.27,1.646109522,0.003546085
1-Nov-80,85.6,193.2473765,44.619,1.649519833,0.003410311
1-Dec-80,86.4,193.6513742,44.887,1.652120581,0.002600748
1-Jan-81,87.2,194.0516485,45.277,1.655877643,0.003757063
1-Feb-81,88,194.4482672,45.608,1.659041028,0.003163385
1-Mar-81,88.6,194.7433722,45.86,1.66143405,0.002393022
1-Apr-81,89.1,194.9877704,46.15,1.664171705,0.002737655
1-May-81,89.7,195.2792443,46.466,1.667135288,0.002963583
1-Jun-81,90.5,195.6648579,46.696,1.66927968,0.002144392
1-Jul-81,91.5,196.1421094,46.976,1.671876034,0.002596354
1-Aug-81,92.2,196.4730921,47.289,1.67476013,0.002884096
1-Sep-81,93.1,196.8949681,47.597,1.67757958,0.00281945
1-Oct-81,93.4,197.0346876,47.879,1.680145071,0.002565491
1-Nov-81,93.8,197.2202838,48.156,1.682650406,0.002505335
1-Dec-81,94.1,197.3589623,48.33,1.684216795,0.001566389
