DATE,,,,IC4WSA,,
1,28,1967,,209000,,
2,4,1967,,211000,,
2,11,1967,,216500,,219000
2,18,1967,,219500,,
2,25,1967,,229000,,
3,4,1967,,252500,,
3,11,1967,,255500,,
3,18,1967,,259500,,
3,25,1967,,260750,,
4,1,1967,,248000,,
4,8,1967,,252000,,
4,15,1967,,265500,,
4,22,1967,,265000,,
4,29,1967,,264000,,
5,6,1967,,263250,,
5,13,1967,,246250,,
5,20,1967,,242500,,
5,27,1967,,235750,,
6,3,1967,,234250,,
6,10,1967,,236000,,
6,17,1967,,234500,,
6,24,1967,,232000,,
7,1,1967,,222250,,
7,8,1967,,222750,,
7,15,1967,,227000,,
7,22,1967,,232500,,
7,29,1967,,232500,,
8,5,1967,,227750,,
8,12,1967,,218000,,
8,19,1967,,211750,,
8,26,1967,,212750,,
9,2,1967,,212000,,
9,9,1967,,219250,,
9,16,1967,,220500,,
9,23,1967,,219500,,
9,30,1967,,216000,,
10,7,1967,,216000,,
10,14,1967,,212500,,
10,21,1967,,216000,,
10,28,1967,,216750,,
11,4,1967,,214500,,
11,11,1967,,216500,,
11,18,1967,,210250,,
11,25,1967,,206250,,
12,2,1967,,199750,,
12,9,1967,,201500,,
12,16,1967,,203000,,
12,23,1967,,210000,,
12,30,1967,,215000,,
1,6,1968,,215250,,
1,13,1968,,219750,,
1,20,1968,,220250,,
1,27,1968,,215750,,
2,3,1968,,221250,,
2,10,1968,,218250,,
2,17,1968,,212000,,
2,24,1968,,210750,,
3,2,1968,,197250,,
3,9,1968,,195750,,
3,16,1968,,194250,,
3,23,1968,,196000,,
3,30,1968,,196500,,
4,6,1968,,193250,,
4,13,1968,,188500,,
4,20,1968,,184250,,
4,27,1968,,199000,,
5,4,1968,,203500,,
5,11,1968,,209250,,
5,18,1968,,213250,,
5,25,1968,,199000,,
6,1,1968,,196500,,
6,8,1968,,196000,,
6,15,1968,,194750,,
6,22,1968,,193500,,
6,29,1968,,192250,,
7,6,1968,,197750,,
7,13,1968,,195750,,
7,20,1968,,193500,,
7,27,1968,,196250,,
8,3,1968,,194250,,
8,10,1968,,202250,,
8,17,1968,,205250,,
8,24,1968,,202250,,
