DATE,PCETRIM12M159SFRBDAL
1-Jan-1978,5.71
1-Feb-1978,5.59
1-Mar-1978,5.56
1-Apr-1978,5.73
1-May-1978,5.91
1-Jun-1978,5.93
1-Jul-1978,6.01
1-Aug-1978,6.05
1-Sep-1978,6.24
1-Oct-1978,6.56
1-Nov-1978,6.67
1-Dec-1978,6.72
1-Jan-1979,7.04
1-Feb-1979,7.22
1-Mar-1979,7.26
1-Apr-1979,7.26
1-May-1979,7.35
1-Jun-1979,7.39
1-Jul-1979,7.49
1-Aug-1979,7.67
1-Sep-1979,7.78
1-Oct-1979,7.87
1-Nov-1979,7.87
1-Dec-1979,8.02
1-Jan-1980,8.13
1-Feb-1980,8.33
1-Mar-1980,8.57
1-Apr-1980,8.53
1-May-1980,8.53
1-Jun-1980,8.69
1-Jul-1980,8.58
1-Aug-1980,8.55
1-Sep-1980,8.64
1-Oct-1980,8.55
1-Nov-1980,8.62
1-Dec-1980,8.62
1-Jan-1981,8.57
1-Feb-1981,8.58
1-Mar-1981,8.39
1-Apr-1981,8.48
1-May-1981,8.3
1-Jun-1981,8.05
1-Jul-1981,8.08
1-Aug-1981,7.99
1-Sep-1981,7.8
1-Oct-1981,7.6
1-Nov-1981,7.39
1-Dec-1981,7.13
1-Jan-1982,6.81
1-Feb-1982,6.36
1-Mar-1982,6.18
1-Apr-1982,5.85
1-May-1982,5.76
1-Jun-1982,5.73
1-Jul-1982,5.76
1-Aug-1982,5.49
1-Sep-1982,5.13
1-Oct-1982,5.07
1-Nov-1982,4.79
1-Dec-1982,4.62
1-Jan-1983,4.64
1-Feb-1983,4.58
1-Mar-1983,4.34
1-Apr-1983,4.48
1-May-1983,4.25
1-Jun-1983,4.07
1-Jul-1983,3.8
1-Aug-1983,3.71
1-Sep-1983,3.8
1-Oct-1983,3.57
1-Nov-1983,3.69
1-Dec-1983,3.64
1-Jan-1984,3.59
1-Feb-1984,3.65
1-Mar-1984,3.79
1-Apr-1984,3.78
1-May-1984,3.7
1-Jun-1984,3.71
1-Jul-1984,3.8
1-Aug-1984,3.88
1-Sep-1984,3.86
1-Oct-1984,3.94
1-Nov-1984,3.77
1-Dec-1984,3.88
1-Jan-1985,3.73
1-Feb-1985,3.83
1-Mar-1985,3.83
1-Apr-1985,3.63
1-May-1985,3.72
1-Jun-1985,3.78
1-Jul-1985,3.58
1-Aug-1985,3.57
1-Sep-1985,3.52
1-Oct-1985,3.48
1-Nov-1985,3.63
1-Dec-1985,3.64
1-Jan-1986,3.74
1-Feb-1986,3.49
1-Mar-1986,3.28
1-Apr-1986,3.33
1-May-1986,3.25
1-Jun-1986,3.23
1-Jul-1986,3.25
1-Aug-1986,3.16
1-Sep-1986,3.18
1-Oct-1986,3.25
1-Nov-1986,3.17
1-Dec-1986,3.1
1-Jan-1987,3.12
1-Feb-1987,3.18
1-Mar-1987,3.38
1-Apr-1987,3.55
1-May-1987,3.63
1-Jun-1987,3.57
1-Jul-1987,3.57
1-Aug-1987,3.72
1-Sep-1987,3.69
1-Oct-1987,3.72
1-Nov-1987,3.72
1-Dec-1987,3.62
1-Jan-1988,3.62
1-Feb-1988,3.57
1-Mar-1988,3.54
1-Apr-1988,3.49
1-May-1988,3.48
1-Jun-1988,3.59
1-Jul-1988,3.77
1-Aug-1988,3.71
1-Sep-1988,3.86
1-Oct-1988,3.81
1-Nov-1988,3.85
1-Dec-1988,4
1-Jan-1989,4.04
1-Feb-1989,4.13
1-Mar-1989,4.15
1-Apr-1989,4.14
1-May-1989,4.22
1-Jun-1989,4.1
1-Jul-1989,4.01
1-Aug-1989,3.92
1-Sep-1989,3.76
1-Oct-1989,3.91
1-Nov-1989,3.89
1-Dec-1989,3.91
1-Jan-1990,3.83
1-Feb-1990,3.79
1-Mar-1990,3.92
1-Apr-1990,3.88
1-May-1990,3.77
1-Jun-1990,3.91
1-Jul-1990,3.93
1-Aug-1990,4.12
1-Sep-1990,4.12
1-Oct-1990,3.99
1-Nov-1990,3.86
1-Dec-1990,3.82
