DATE,UMCSENT
1-Jan-1978,83.7
1-Feb-1978,84.3
1-Mar-1978,78.8
1-Apr-1978,81.6
1-May-1978,82.9
1-Jun-1978,80
1-Jul-1978,82.4
1-Aug-1978,78.4
1-Sep-1978,80.4
1-Oct-1978,79.3
1-Nov-1978,75
1-Dec-1978,66.1
1-Jan-1979,72.1
1-Feb-1979,73.9
1-Mar-1979,68.4
1-Apr-1979,66
1-May-1979,68.1
1-Jun-1979,65.8
1-Jul-1979,60.4
1-Aug-1979,64.5
1-Sep-1979,66.7
1-Oct-1979,62.1
1-Nov-1979,63.3
1-Dec-1979,61
1-Jan-1980,67
1-Feb-1980,66.9
1-Mar-1980,56.5
1-Apr-1980,52.7
1-May-1980,51.7
1-Jun-1980,58.7
1-Jul-1980,62.3
1-Aug-1980,67.3
1-Sep-1980,73.7
1-Oct-1980,75
1-Nov-1980,76.7
1-Dec-1980,64.5
1-Jan-1981,71.4
1-Feb-1981,66.9
1-Mar-1981,66.5
1-Apr-1981,72.4
1-May-1981,76.3
1-Jun-1981,73.1
1-Jul-1981,74.1
1-Aug-1981,77.2
1-Sep-1981,73.1
1-Oct-1981,70.3
1-Nov-1981,62.5
1-Dec-1981,64.3
1-Jan-1982,71
1-Feb-1982,66.5
1-Mar-1982,62
1-Apr-1982,65.5
1-May-1982,67.5
1-Jun-1982,65.7
1-Jul-1982,65.4
1-Aug-1982,65.4
1-Sep-1982,69.3
1-Oct-1982,73.4
1-Nov-1982,72.1
1-Dec-1982,71.9
1-Jan-1983,70.4
1-Feb-1983,74.6
1-Mar-1983,80.8
1-Apr-1983,89.1
1-May-1983,93.3
1-Jun-1983,92.2
1-Jul-1983,92.8
1-Aug-1983,90.9
1-Sep-1983,89.9
1-Oct-1983,89.3
1-Nov-1983,91.1
1-Dec-1983,94.2
1-Jan-1984,100.1
1-Feb-1984,97.4
1-Mar-1984,101
1-Apr-1984,96.1
1-May-1984,98.1
1-Jun-1984,95.5
1-Jul-1984,96.6
1-Aug-1984,99.1
1-Sep-1984,100.9
1-Oct-1984,96.3
1-Nov-1984,95.7
1-Dec-1984,92.9
1-Jan-1985,96
1-Feb-1985,93.7
1-Mar-1985,93.7
1-Apr-1985,94.6
1-May-1985,91.8
1-Jun-1985,96.5
1-Jul-1985,94
1-Aug-1985,92.4
1-Sep-1985,92.1
1-Oct-1985,88.4
1-Nov-1985,90.9
1-Dec-1985,93.9
1-Jan-1986,95.6
1-Feb-1986,95.9
1-Mar-1986,95.1
1-Apr-1986,96.2
1-May-1986,94.8
1-Jun-1986,99.3
1-Jul-1986,97.7
1-Aug-1986,94.9
1-Sep-1986,91.9
1-Oct-1986,95.6
1-Nov-1986,91.4
1-Dec-1986,89.1
1-Jan-1987,90.4
1-Feb-1987,90.2
1-Mar-1987,90.8
1-Apr-1987,92.8
1-May-1987,91.1
1-Jun-1987,91.5
1-Jul-1987,93.7
1-Aug-1987,94.4
1-Sep-1987,93.6
1-Oct-1987,89.3
1-Nov-1987,83.1
1-Dec-1987,86.8
1-Jan-1988,90.8
1-Feb-1988,91.6
1-Mar-1988,94.6
1-Apr-1988,91.2
1-May-1988,94.8
1-Jun-1988,94.7
1-Jul-1988,93.4
1-Aug-1988,97.4
1-Sep-1988,97.3
1-Oct-1988,94.1
1-Nov-1988,93
1-Dec-1988,91.9
1-Jan-1989,97.9
1-Feb-1989,95.4
1-Mar-1989,94.3
1-Apr-1989,91.5
1-May-1989,90.7
1-Jun-1989,90.6
1-Jul-1989,92
1-Aug-1989,89.6
1-Sep-1989,95.8
1-Oct-1989,93.9
1-Nov-1989,90.9
1-Dec-1989,90.5
1-Jan-1990,93
1-Feb-1990,89.5
1-Mar-1990,91.3
1-Apr-1990,93.9
1-May-1990,90.6
1-Jun-1990,88.3
1-Jul-1990,88.2
1-Aug-1990,76.4
1-Sep-1990,72.8
1-Oct-1990,63.9
1-Nov-1990,66
1-Dec-1990,65.5
1-Jan-1991,66.8
1-Feb-1991,70.4
1-Mar-1991,87.7
1-Apr-1991,81.8
1-May-1991,78.3
1-Jun-1991,82.1
1-Jul-1991,82.9
1-Aug-1991,82
1-Sep-1991,83
1-Oct-1991,78.3
1-Nov-1991,69.1
1-Dec-1991,68.2
1-Jan-1992,67.5
1-Feb-1992,68.8
1-Mar-1992,76
1-Apr-1992,77.2
1-May-1992,79.2
1-Jun-1992,80.4
1-Jul-1992,76.6
1-Aug-1992,76.1
1-Sep-1992,75.6
1-Oct-1992,73.3
1-Nov-1992,85.3
1-Dec-1992,91
1-Jan-1993,89.3
1-Feb-1993,86.6
1-Mar-1993,85.9
1-Apr-1993,85.6
1-May-1993,80.3
1-Jun-1993,81.5
1-Jul-1993,77
1-Aug-1993,77.3
1-Sep-1993,77.9
1-Oct-1993,82.7
1-Nov-1993,81.2
1-Dec-1993,88.2
1-Jan-1994,94.3
1-Feb-1994,93.2
1-Mar-1994,91.5
1-Apr-1994,92.6
1-May-1994,92.8
1-Jun-1994,91.2
1-Jul-1994,89
1-Aug-1994,91.7
1-Sep-1994,91.5
1-Oct-1994,92.7
1-Nov-1994,91.6
1-Dec-1994,95.1
1-Jan-1995,97.6
1-Feb-1995,95.1
1-Mar-1995,90.3
1-Apr-1995,92.5
1-May-1995,89.8
1-Jun-1995,92.7
1-Jul-1995,94.4
1-Aug-1995,96.2
1-Sep-1995,88.9
1-Oct-1995,90.2
1-Nov-1995,88.2
1-Dec-1995,91
1-Jan-1996,89.3
1-Feb-1996,88.5
1-Mar-1996,93.7
1-Apr-1996,92.7
1-May-1996,89.4
1-Jun-1996,92.4
1-Jul-1996,94.7
1-Aug-1996,95.3
1-Sep-1996,94.7
1-Oct-1996,96.5
1-Nov-1996,99.2
1-Dec-1996,96.9
1-Jan-1997,97.4
1-Feb-1997,99.7
1-Mar-1997,100
1-Apr-1997,101.4
1-May-1997,103.2
1-Jun-1997,104.5
1-Jul-1997,107.1
1-Aug-1997,104.4
1-Sep-1997,106
1-Oct-1997,105.6
1-Nov-1997,107.2
1-Dec-1997,102.1
1-Jan-1998,106.6
1-Feb-1998,110.4
1-Mar-1998,106.5
1-Apr-1998,108.7
1-May-1998,106.5
