DATE,UNRATENSA
1-Jan-1977,8.3
1-Feb-1977,8.5
1-Mar-1977,7.9
1-Apr-1977,6.9
1-May-1977,6.4
1-Jun-1977,7.5
1-Jul-1977,7
1-Aug-1977,6.8
1-Sep-1977,6.6
1-Oct-1977,6.4
1-Nov-1977,6.5
1-Dec-1977,6
1-Jan-1978,7.1
1-Feb-1978,6.9
1-Mar-1978,6.6
1-Apr-1978,5.8
1-May-1978,5.5
1-Jun-1978,6.2
1-Jul-1978,6.3
1-Aug-1978,5.9
1-Sep-1978,5.8
1-Oct-1978,5.4
1-Nov-1978,5.6
1-Dec-1978,5.7
1-Jan-1979,6.4
1-Feb-1979,6.4
1-Mar-1979,6.1
1-Apr-1979,5.5
1-May-1979,5.2
1-Jun-1979,6
1-Jul-1979,5.9
1-Aug-1979,5.9
1-Sep-1979,5.7
1-Oct-1979,5.6
1-Nov-1979,5.6
1-Dec-1979,5.7
1-Jan-1980,6.9
1-Feb-1980,6.8
1-Mar-1980,6.6
1-Apr-1980,6.7
1-May-1980,7.1
1-Jun-1980,7.8
1-Jul-1980,7.9
1-Aug-1980,7.6
1-Sep-1980,7.2
1-Oct-1980,7.1
1-Nov-1980,7.1
1-Dec-1980,6.9
1-Jan-1981,8.2
1-Feb-1981,8
1-Mar-1981,7.7
1-Apr-1981,7
1-May-1981,7.1
1-Jun-1981,7.7
1-Jul-1981,7.3
1-Aug-1981,7.2
1-Sep-1981,7.3
1-Oct-1981,7.5
1-Nov-1981,7.9
1-Dec-1981,8.3
1-Jan-1982,9.4
1-Feb-1982,9.6
1-Mar-1982,9.5
1-Apr-1982,9.2
1-May-1982,9.1
1-Jun-1982,9.8
1-Jul-1982,9.8
1-Aug-1982,9.6
1-Sep-1982,9.7
1-Oct-1982,9.9
1-Nov-1982,10.4
1-Dec-1982,10.5
1-Jan-1983,11.4
1-Feb-1983,11.3
1-Mar-1983,10.8
1-Apr-1983,10
1-May-1983,9.8
1-Jun-1983,10.2
1-Jul-1983,9.4
1-Aug-1983,9.2
1-Sep-1983,8.8
1-Oct-1983,8.4
1-Nov-1983,8.1
1-Dec-1983,8
1-Jan-1984,8.8
1-Feb-1984,8.4
1-Mar-1984,8.1
1-Apr-1984,7.6
1-May-1984,7.2
1-Jun-1984,7.4
1-Jul-1984,7.5
1-Aug-1984,7.3
1-Sep-1984,7.1
1-Oct-1984,7
1-Nov-1984,6.9
1-Dec-1984,7
1-Jan-1985,8
1-Feb-1985,7.8
1-Mar-1985,7.5
1-Apr-1985,7.1
1-May-1985,7
1-Jun-1985,7.5
1-Jul-1985,7.4
1-Aug-1985,6.9
1-Sep-1985,6.9
1-Oct-1985,6.8
1-Nov-1985,6.7
1-Dec-1985,6.7
1-Jan-1986,7.3
1-Feb-1986,7.8
1-Mar-1986,7.5
1-Apr-1986,7
1-May-1986,7
1-Jun-1986,7.3
1-Jul-1986,7
1-Aug-1986,6.7
1-Sep-1986,6.8
1-Oct-1986,6.6
1-Nov-1986,6.6
1-Dec-1986,6.3
1-Jan-1987,7.3
1-Feb-1987,7.2
1-Mar-1987,6.9
1-Apr-1987,6.2
1-May-1987,6.1
1-Jun-1987,6.3
1-Jul-1987,6.1
1-Aug-1987,5.8
1-Sep-1987,5.7
1-Oct-1987,5.7
1-Nov-1987,5.6
1-Dec-1987,5.4
1-Jan-1988,6.3
1-Feb-1988,6.2
1-Mar-1988,5.9
1-Apr-1988,5.3
1-May-1988,5.4
1-Jun-1988,5.5
1-Jul-1988,5.5
1-Aug-1988,5.4
1-Sep-1988,5.2
1-Oct-1988,5
1-Nov-1988,5.2
1-Dec-1988,5
1-Jan-1989,6
1-Feb-1989,5.6
1-Mar-1989,5.2
1-Apr-1989,5.1
1-May-1989,5
1-Jun-1989,5.5
1-Jul-1989,5.3
1-Aug-1989,5.1
1-Sep-1989,5.1
1-Oct-1989,5
1-Nov-1989,5.2
1-Dec-1989,5.1
1-Jan-1990,6
1-Feb-1990,5.9
1-Mar-1990,5.5
1-Apr-1990,5.3
1-May-1990,5.2
1-Jun-1990,5.4
1-Jul-1990,5.6
1-Aug-1990,5.5
1-Sep-1990,5.6
1-Oct-1990,5.5
1-Nov-1990,5.9
1-Dec-1990,6
1-Jan-1991,7.1
1-Feb-1991,7.3
1-Mar-1991,7.2
1-Apr-1991,6.5
1-May-1991,6.7
1-Jun-1991,7
1-Jul-1991,6.8
1-Aug-1991,6.6
1-Sep-1991,6.5
1-Oct-1991,6.5
1-Nov-1991,6.7
1-Dec-1991,6.9
1-Jan-1992,8.1
1-Feb-1992,8.2
1-Mar-1992,7.8
1-Apr-1992,7.2
1-May-1992,7.3
1-Jun-1992,8
1-Jul-1992,7.7
1-Aug-1992,7.4
1-Sep-1992,7.3
1-Oct-1992,6.9
1-Nov-1992,7.1
1-Dec-1992,7.1
1-Jan-1993,8
1-Feb-1993,7.8
1-Mar-1993,7.4
1-Apr-1993,6.9
1-May-1993,6.8
1-Jun-1993,7.2
1-Jul-1993,7
1-Aug-1993,6.6
1-Sep-1993,6.4
1-Oct-1993,6.4
1-Nov-1993,6.2
1-Dec-1993,6.1
1-Jan-1994,7.3
1-Feb-1994,7.1
1-Mar-1994,6.8
1-Apr-1994,6.2
1-May-1994,5.9
1-Jun-1994,6.2
1-Jul-1994,6.2
1-Aug-1994,5.9
1-Sep-1994,5.6
1-Oct-1994,5.4
1-Nov-1994,5.3
1-Dec-1994,5.1
1-Jan-1995,6.2
1-Feb-1995,5.9
1-Mar-1995,5.7
1-Apr-1995,5.6
1-May-1995,5.5
1-Jun-1995,5.8
1-Jul-1995,5.9
1-Aug-1995,5.6
1-Sep-1995,5.4
1-Oct-1995,5.2
1-Nov-1995,5.3
1-Dec-1995,5.2
1-Jan-1996,6.3
1-Feb-1996,6
1-Mar-1996,5.8
1-Apr-1996,5.4
1-May-1996,5.4
1-Jun-1996,5.5
1-Jul-1996,5.6
1-Aug-1996,5.1
1-Sep-1996,5
1-Oct-1996,4.9
1-Nov-1996,5
1-Dec-1996,5
1-Jan-1997,5.9
1-Feb-1997,5.7
1-Mar-1997,5.5
1-Apr-1997,4.8
1-May-1997,4.7
1-Jun-1997,5.2
1-Jul-1997,5
1-Aug-1997,4.8
1-Sep-1997,4.7
1-Oct-1997,4.4
1-Nov-1997,4.3
1-Dec-1997,4.4
1-Jan-1998,5.2
1-Feb-1998,5
1-Mar-1998,5
1-Apr-1998,4.1
1-May-1998,4.2
1-Jun-1998,4.7
1-Jul-1998,4.7
1-Aug-1998,4.5
1-Sep-1998,4.4
1-Oct-1998,4.2
1-Nov-1998,4.1
1-Dec-1998,4
1-Jan-1999,4.8
1-Feb-1999,4.7
1-Mar-1999,4.4
1-Apr-1999,4.1
1-May-1999,4
1-Jun-1999,4.5
1-Jul-1999,4.5
1-Aug-1999,4.2
1-Sep-1999,4.1
1-Oct-1999,3.8
1-Nov-1999,3.8
1-Dec-1999,3.7
1-Jan-2000,4.5
1-Feb-2000,4.4
1-Mar-2000,4.3
1-Apr-2000,3.7
1-May-2000,3.8
1-Jun-2000,4.1
1-Jul-2000,4.2
1-Aug-2000,4.1
1-Sep-2000,3.8
1-Oct-2000,3.6
1-Nov-2000,3.7
1-Dec-2000,3.7
1-Jan-2001,4.7
1-Feb-2001,4.6
1-Mar-2001,4.5
1-Apr-2001,4.2
1-May-2001,4.1
1-Jun-2001,4.7
1-Jul-2001,4.7
1-Aug-2001,4.9
1-Sep-2001,4.7
1-Oct-2001,5
1-Nov-2001,5.3
1-Dec-2001,5.4
1-Jan-2002,6.3
1-Feb-2002,6.1
1-Mar-2002,6.1
1-Apr-2002,5.7
1-May-2002,5.5
1-Jun-2002,6
1-Jul-2002,5.9
1-Aug-2002,5.7
1-Sep-2002,5.4
1-Oct-2002,5.3
1-Nov-2002,5.6
1-Dec-2002,5.7
1-Jan-2003,6.5
1-Feb-2003,6.4
1-Mar-2003,6.2
1-Apr-2003,5.8
1-May-2003,5.8
1-Jun-2003,6.5
1-Jul-2003,6.3
1-Aug-2003,6
1-Sep-2003,5.8
1-Oct-2003,5.6
1-Nov-2003,5.6
1-Dec-2003,5.4
1-Jan-2004,6.3
1-Feb-2004,6
1-Mar-2004,6
1-Apr-2004,5.4
1-May-2004,5.3
1-Jun-2004,5.8
1-Jul-2004,5.7
1-Aug-2004,5.4
1-Sep-2004,5.1
1-Oct-2004,5.1
1-Nov-2004,5.2
1-Dec-2004,5.1
1-Jan-2005,5.7
1-Feb-2005,5.8
1-Mar-2005,5.4
1-Apr-2005,4.9
1-May-2005,4.9
1-Jun-2005,5.2
1-Jul-2005,5.2
1-Aug-2005,4.9
1-Sep-2005,4.8
1-Oct-2005,4.6
1-Nov-2005,4.8
1-Dec-2005,4.6
1-Jan-2006,5.1
1-Feb-2006,5.1
1-Mar-2006,4.8
1-Apr-2006,4.5
1-May-2006,4.4
1-Jun-2006,4.8
1-Jul-2006,5
1-Aug-2006,4.6
1-Sep-2006,4.4
1-Oct-2006,4.1
1-Nov-2006,4.3
1-Dec-2006,4.3
1-Jan-2007,5
1-Feb-2007,4.9
1-Mar-2007,4.5
1-Apr-2007,4.3
1-May-2007,4.3
1-Jun-2007,4.7
1-Jul-2007,4.9
1-Aug-2007,4.6
1-Sep-2007,4.5
1-Oct-2007,4.4
1-Nov-2007,4.5
1-Dec-2007,4.8
1-Jan-2008,5.4
1-Feb-2008,5.2
1-Mar-2008,5.2
1-Apr-2008,4.8
1-May-2008,5.2
1-Jun-2008,5.7
1-Jul-2008,6
1-Aug-2008,6.1
1-Sep-2008,6
1-Oct-2008,6.1
1-Nov-2008,6.5
1-Dec-2008,7.1
1-Jan-2009,8.5
1-Feb-2009,8.9
1-Mar-2009,9
1-Apr-2009,8.6
1-May-2009,9.1
1-Jun-2009,9.7
1-Jul-2009,9.7
1-Aug-2009,9.6
1-Sep-2009,9.5
1-Oct-2009,9.5
1-Nov-2009,9.4
1-Dec-2009,9.7
1-Jan-2010,10.6
1-Feb-2010,10.4
1-Mar-2010,10.2
1-Apr-2010,9.5
1-May-2010,9.3
1-Jun-2010,9.6
1-Jul-2010,9.7
1-Aug-2010,9.5
1-Sep-2010,9.2
1-Oct-2010,9
1-Nov-2010,9.3
1-Dec-2010,9.1
1-Jan-2011,9.8
1-Feb-2011,9.5
1-Mar-2011,9.2
1-Apr-2011,8.7
1-May-2011,8.7
1-Jun-2011,9.3
1-Jul-2011,9.3
1-Aug-2011,9.1
1-Sep-2011,8.8
1-Oct-2011,8.5
1-Nov-2011,8.2
1-Dec-2011,8.3
1-Jan-2012,8.8
1-Feb-2012,8.7
1-Mar-2012,8.4
1-Apr-2012,7.7
1-May-2012,7.9
1-Jun-2012,8.4
1-Jul-2012,8.6
1-Aug-2012,8.2
1-Sep-2012,7.6
1-Oct-2012,7.5
1-Nov-2012,7.4
1-Dec-2012,7.6
1-Jan-2013,8.5
1-Feb-2013,8.1
1-Mar-2013,7.6
1-Apr-2013,7.1
1-May-2013,7.3
1-Jun-2013,7.8
1-Jul-2013,7.7
1-Aug-2013,7.3
1-Sep-2013,7
1-Oct-2013,7
1-Nov-2013,6.6
1-Dec-2013,6.5
1-Jan-2014,7
1-Feb-2014,7
1-Mar-2014,6.8
1-Apr-2014,5.9
1-May-2014,6.1
1-Jun-2014,6.3
1-Jul-2014,6.5
1-Aug-2014,6.3
1-Sep-2014,5.7
1-Oct-2014,5.5
1-Nov-2014,5.5
1-Dec-2014,5.4
1-Jan-2015,6.1
1-Feb-2015,5.8
1-Mar-2015,5.6
