DATE,CPIAUCSL,Log CPI,PCE,Log PCE
1/1/77,58.7,1.768638101,33.511,1.525187388
2/1/77,59.3,1.773054693,33.716,1.527836045
3/1/77,59.6,1.77524626,33.858,1.529661301
4/1/77,60,1.77815125,34.027,1.531823661
5/1/77,60.2,1.779596491,34.201,1.534038805
6/1/77,60.5,1.781755375,34.405,1.536621562
7/1/77,60.8,1.783903579,34.619,1.539314519
8/1/77,61.1,1.78604121,34.79,1.541454429
9/1/77,61.3,1.787460475,34.938,1.54329804
10/1/77,61.6,1.789580712,35.108,1.54540609
11/1/77,62,1.792391689,35.292,1.547676271
12/1/77,62.3,1.794488047,35.477,1.549946888
1/1/78,62.7,1.797267541,35.695,1.552607386
2/1/78,63,1.799340549,35.835,1.554307409
3/1/78,63.4,1.802089258,36.032,1.556688369
4/1/78,63.9,1.805500858,36.266,1.559499657
5/1/78,64.5,1.809559715,36.48,1.56205483
6/1/78,65,1.812913357,36.685,1.564488523
7/1/78,65.5,1.8162413,36.901,1.567038135
8/1/78,65.9,1.818885415,37.1,1.56937391
9/1/78,66.5,1.822821645,37.313,1.571860168
10/1/78,67.1,1.82672252,37.587,1.575037664
11/1/78,67.5,1.829303773,37.789,1.577365399
12/1/78,67.9,1.831869774,37.936,1.579051537
1/1/79,68.5,1.835690571,38.128,1.581244025
2/1/79,69.2,1.840106094,38.252,1.582654147
3/1/79,69.9,1.844477176,38.471,1.585133475
4/1/79,70.6,1.848804701,38.824,1.589100278
5/1/79,71.4,1.853698212,39.161,1.592853773
6/1/79,72.2,1.858537198,39.379,1.595264683
7/1/79,73,1.86332286,39.576,1.597431897
8/1/79,73.7,1.867467488,39.838,1.600297527
9/1/79,74.4,1.871572936,40.108,1.603231006
10/1/79,75.2,1.876217841,40.4,1.606381365
11/1/79,76,1.880813592,40.658,1.609146012
12/1/79,76.9,1.88592634,40.949,1.6122433
1/1/80,78,1.892094603,41.257,1.615497645
2/1/80,79,1.897627091,41.667,1.619792233
3/1/80,80.1,1.903632516,42.052,1.623786656
4/1/80,80.9,1.907948522,42.268,1.626011699
5/1/80,81.7,1.912222057,42.608,1.629491149
6/1/80,82.5,1.916453949,42.89,1.632356046
7/1/80,82.6,1.916980047,43.19,1.635383204
8/1/80,83.2,1.920123326,43.502,1.638509224
9/1/80,83.9,1.923761961,43.91,1.642563437
10/1/80,84.7,1.92788341,44.27,1.646109522
11/1/80,85.6,1.932473765,44.619,1.649519833
12/1/80,86.4,1.936513742,44.887,1.652120581
1/1/81,87.2,1.940516485,45.277,1.655877643
2/1/81,88,1.944482672,45.608,1.659041028
3/1/81,88.6,1.947433722,45.86,1.66143405
4/1/81,89.1,1.949877704,46.15,1.664171705
5/1/81,89.7,1.952792443,46.466,1.667135288
6/1/81,90.5,1.956648579,46.696,1.66927968
7/1/81,91.5,1.961421094,46.976,1.671876034
8/1/81,92.2,1.964730921,47.289,1.67476013
9/1/81,93.1,1.968949681,47.597,1.67757958
10/1/81,93.4,1.970346876,47.879,1.680145071
11/1/81,93.8,1.972202838,48.156,1.682650406
12/1/81,94.1,1.973589623,48.33,1.684216795
1/1/82,94.4,1.974971994,48.624,1.686850683
2/1/82,94.7,1.976349979,48.81,1.688508808
3/1/82,94.7,1.976349979,49.021,1.690382166
4/1/82,95,1.977723605,49.213,1.69207984
5/1/82,95.9,1.981818607,49.48,1.694429691
6/1/82,97,1.986771734,49.727,1.696592259
7/1/82,97.5,1.989004616,50.048,1.699386727
8/1/82,97.7,1.989894564,50.279,1.701386631
9/1/82,97.7,1.989894564,50.466,1.702998883
10/1/82,98.1,1.991669007,50.785,1.705735457
11/1/82,98,1.991226076,50.977,1.707374274
12/1/82,97.7,1.989894564,51.145,1.708803183
1/1/83,97.9,1.990782692,51.509,1.711883119
2/1/83,98,1.991226076,51.705,1.713532542
3/1/83,98.1,1.991669007,51.775,1.714120108
4/1/83,98.8,1.994756945,51.932,1.715435048
5/1/83,99.2,1.996511672,52.008,1.716070153
6/1/83,99.4,1.997386384,52.252,1.718102918
7/1/83,99.8,1.999130541,52.604,1.721018769
8/1/83,100.1,2.000434077,52.876,1.723258594
9/1/83,100.4,2.001733713,53.09,1.725012725
10/1/83,100.8,2.003460532,53.185,1.725789164
11/1/83,101.1,2.004751156,53.31,1.726808683
12/1/83,101.4,2.006037955,53.35,1.727134424
1/1/84,102.1,2.009025742,53.525,1.728556676
2/1/84,102.6,2.011147361,53.861,1.731274412
3/1/84,102.9,2.012415375,54.065,1.732916207
4/1/84,103.3,2.014100322,54.321,1.734967756
5/1/84,103.5,2.01494035,54.447,1.735973955
6/1/84,103.7,2.015778756,54.576,1.737001702
7/1/84,104.1,2.01745073,54.811,1.738867726
8/1/84,104.4,2.018700499,54.993,1.740307412
9/1/84,104.7,2.019946682,55.078,1.740978162
10/1/84,105.1,2.021602716,55.203,1.74196268
11/1/84,105.3,2.022428371,55.322,1.742897872
