,DATE,Log GDP ,Log GDP ,Log GDP ,Log GDP ,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,0,0,0,0,0,0,0,0,0,0,0,0,pos ,,,,,,,,,,,,,neutral,,,,,,,,,,,,,0
0,1-Jan-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022956018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
1,1-Feb-78,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,-0.003976949,0.022956018,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5
2,1-Mar-78,,,,,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,-0.042139099,-0.003976949,0.022956018,,,,,,,,,,,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
3,1-Apr-78,0.001512796,,,,6.6,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,,,,,,,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
4,1-May-78,0.001512796,,,,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,,,,,,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9
5,1-Jun-78,0.001512796,,,,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,,,,,,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,,,,,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
6,1-Jul-78,0.016565102,0.001512796,,,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,,,,,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,,,,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4
7,1-Aug-78,0.016565102,0.001512796,,,6.3,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,,,,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,,,-4,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
8,1-Sep-78,0.016565102,0.001512796,,,5.9,6.3,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,,,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,,2,-4,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1
9,1-Oct-78,0.004222671,0.016565102,0.001512796,,5.8,5.9,6.3,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,,-1.1,2,-4,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3
10,1-Nov-78,0.004222671,0.016565102,0.001512796,,5.4,5.8,5.9,6.3,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,,-4.3,-1.1,2,-4,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.9
11,1-Dec-78,0.004222671,0.016565102,0.001512796,,5.6,5.4,5.8,5.9,6.3,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
12,1-Jan-79,0.005788137,0.004222671,0.016565102,0.001512796,5.7,5.6,5.4,5.8,5.9,6.3,6.2,5.5,5.8,6.6,6.9,7.1,,,,,,,,,,,,,,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,0.022956018,6,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,1.3,2.8,-5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
13,1-Feb-79,0.005788137,0.004222671,0.016565102,0.001512796,6.4,5.7,5.6,5.4,5.8,5.9,6.3,6.2,5.5,5.8,6.6,6.9,,,,,,,,,,,,,,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-0.003976949,1.8,6,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,1.3,2.8,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5
14,1-Mar-79,0.005788137,0.004222671,0.016565102,0.001512796,6.4,6.4,5.7,5.6,5.4,5.8,5.9,6.3,6.2,5.5,5.8,6.6,,,,,,,,,,,,,,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-0.042139099,-5.5,1.8,6,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,1.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4
15,1-Apr-79,0.00085823,0.005788137,0.004222671,0.016565102,6.1,6.4,6.4,5.7,5.6,5.4,5.8,5.9,6.3,6.2,5.5,5.8,,,,,,,,,,,,,,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
